PADK,ADK,Adak Airport,Adak Island,US,51.87799835,-176.6459961,18,America/Adak,Annapolis 安纳波利斯
YPAD,ADL,Adelaide International Airport,Adelaide,AU,-34.94499969,138.5310059,20,Australia/Adelaide,An(n)apurna 安纳布尔纳山
KADM,ADM,Ardmore Municipal Airport,Ardmore,US,34.30301,-97.0196342,777,America/Chicago,Ann Arbor 安阿伯
SKAN,ADN,Andes Airport,Andes,CO,5.66667,-75.8833,3900,America/Bogota,Antananarivo 安塔那利佛
YAMK,ADO,Andamooka Airport,,AU,-30.43829918,137.1369934,76,Australia/Adelaide,Antarctic 南极区; 南极地方
PADQ,ADQ,Kodiak Airport,Kodiak,US,57.75,-152.4940033,78,America/Anchorage,Antarctica 南极洲
KPHH,ADR,Robert F Swinnie Airport,Andrews,US,33.4516983,-79.52619934,26,America/New_York,Antigua 安提瓜
KADS,ADS,Addison Airport,Dallas,US,32.96860123,-96.83640289,644,America/Chicago,Antigua and Barbuda 安提瓜和巴布达
KADH,ADT,Ada Municipal Airport,Ada,US,34.8042984,-96.6713028,1016,America/Chicago,Anti-Lebanon 前黎巴嫩山脉
OITL,ADU,Ardabil Airport,Ardabil,IR,38.32569885,48.42440033,4315,Asia/Tehran,Antilles 安的列斯群岛
KADW,ADW,Andrews Air Force Base,Camp Springs,US,38.81079865,-76.86699677,280,America/New_York,Antofagasta 安托法加斯塔
EGQL,ADX,RAF Leuchars,St. Andrews,GB,56.3728981,-2.868439913,38,Europe/London,Antrim 安特里姆
FAAL,ADY,Alldays Airport,Alldays,ZA,-22.67900085,29.05550003,2600,Africa/Johannesburg,Antwerp 安特卫普
SKSP,ADZ,Gustavo Rojas Pinilla International Airport,San Andres,CO,12.5836,-81.7112,19,America/Bogota,Apennines 亚平宁山脉
NGTB,AEA,Abemama Atoll Airport,Abemama Atoll,KI,0.4908330142,173.8289948,8,Pacific/Tarawa,Apia 阿皮亚
ZBGS,AEB,Tian Yang Air Base,Baise,CN,23.72060013,106.9599991,0,Asia/Chongqing,Apo Mount 阿波火山
WIME,AEG,Aek Godang Airport,Padang Sidempuan-Sumatra Island,ID,1.400099993,99.43049622,922,Asia/Jakarta,Appalachian 阿巴拉契亚山脉
FTTC,AEH,Abeche Airport,,TD,13.84700012,20.84429932,1788,Africa/Ndjamena,Arabia 阿拉伯半岛
KAEL,AEL,Albert Lea Municipal Airport,Albert Lea,US,43.68149948,-93.36720276,1260,America/Chicago,Arabian Desert 阿拉伯沙漠
GQNA,AEO,Aioun el Atrouss Airport,Aioun El Atrouss,MR,16.7112999,-9.637880325,951,Africa/Nouakchott,Arabian Sea 阿拉伯海
SABE,AEP,Jorge Newbery Airpark,Buenos Aires,AR,-34.5592,-58.4156,18,America/Argentina/San_Luis,Aragon 亚拉贡
URSS,AER,Sochi International Airport,Sochi,RU,43.44990158,39.95660019,89,Europe/Moscow,"Araguaia, Araguaya 阿拉瓜亚河"
ENAL,AES,Alesund Airport,Alesund,NO,62.5625,6.119699955,69,Europe/Oslo,Aral Sea 碱海
PFAL,AET,Allakaket Airport,Allakaket,US,66.55180359,-152.621994,441,America/Anchorage,Ararat 亚拉腊山
OIBA,AEU,Abumusa Island Airport,,IR,25.8757,55.03300095,23,Asia/Tehran,Archangel 阿尔汉格尔
KAEX,AEX,Alexandria International Airport,Alexandria,US,31.32740021,-92.54979706,89,America/Chicago,Arctic Sea 北极海
BIAR,AEY,Akureyri Airport,Akureyri,IS,65.66000366,-18.0727005,6,Atlantic/Reykjavik,Arden 阿尔丁
SAMR,AFA,Suboficial Ay Santiago Germano Airport,San Rafael,AR,-34.5882988,-68.40390015,2470,America/Argentina/Mendoza,Ardennes 阿登
FAPA,AFD,Port Alfred Airport,Port Alfred,ZA,-33.55419922,26.87770081,307,Africa/Johannesburg,Arequipa 阿雷基帕
PAFE,AFE,Kake Airport,Kake,US,56.96139908,-133.9100037,172,America/Juneau,Argentina 阿根廷
KAFF,AFF,USAF Academy Airfield,Colorado Springs,US,38.96969986,-104.8130035,6572,America/Denver,Argyllshire 阿盖尔郡
SKAM,AFI,Amalfi Airport,Amalfi,CO,6.91667,-75.0667,5507,America/Bogota,Arizona 亚利桑那
SBAT,AFL,Alta Floresta Airport,Alta Floresta,BR,-9.866389275,-56.10499954,948,America/Cuiaba,Arkansas 阿肯色
KAFN,AFN,Jaffrey Airport Silver Ranch Airport,Jaffrey,US,42.80509949,-72.00299835,1040,America/New_York,Arlington 阿灵顿
KAFO,AFO,Afton Municipal Airport,Afton,US,42.71120071,-110.9420013,6221,America/Denver,Armagh 阿尔马
UTSN,AFS,Sugraly Airport,Zarafshan,UZ,41.61389923,64.23320007,1396,Asia/Samarkand,Armenia 亚美尼亚
AGAF,AFT,Afutara Aerodrome,Bila,SB,-9.191388889,160.9486111,23,Pacific/Guadalcanal,Arno 阿尔诺河
KAFW,AFW,Fort Worth Alliance Airport,Fort Worth,US,32.98759842,-97.31880188,722,America/Chicago,Arras 阿拉斯
LTAH,AFY,Afyon Airport,Afyonkarahisar,TR,38.72639847,30.60110092,3310,Europe/Istanbul,Arthur's Pass 阿瑟山隘
OIMS,AFZ,Sabzevar National Airport,Sabzevar,IR,36.16809845,57.59519959,3010,Asia/Tehran,Ascension 阿森松岛
GMAD,AGA,Al Massira Airport,Agadir,MA,30.32500076,-9.413069725,250,Africa/Casablanca,Ashanti 阿散蒂
EDMA,AGB,Augsburg Airport,Augsburg,DE,48.42527771,10.93166733,1516,Europe/Berlin,Asia 亚洲
KAGC,AGC,Allegheny County Airport,Pittsburgh,US,40.35440063,-79.93019867,1252,America/New_York,Asia Minor 小亚细亚
EDWG,AGE,Wangerooge Airport,Wangerooge,DE,53.78277969,7.913888931,7,Europe/Berlin,Asmara 阿斯马拉
LFBA,AGF,Agen-La Garenne Airport,Agen/La Garenne,FR,44.17470169,0.5905560255,204,Europe/Paris,Assam 阿萨姆邦
ESTA,AGH,Angelholm-Helsingborg Airport,Angelholm,SE,56.29610062,12.84710026,68,Europe/Stockholm,Assyria 亚述
SMWA,AGI,Wageningen Airport Airport,Wageningen Airport,SR,5.766666889,-56.6333313,6,America/Paramaribo,Asuncion 亚松森
RORA,AGJ,Aguni Airport,Aguni,JP,26.59250069,127.2409973,38,Asia/Tokyo,Aswan Ass(o)uan 阿斯旺
AYWG,AGL,Wanigela Airport,,PG,-9.3375,149.1555556,53,Pacific/Port_Moresby,Atbara 阿特巴拉河
KAGO,AGO,Magnolia Municipal Airport,Magnolia,US,33.22800064,-93.21700287,319,America/Chicago,Athabasca Athabaska 阿萨巴斯卡河
LEMG,AGP,Malaga Airport,Malaga,ES,36.67490005,-4.499110222,53,Europe/Madrid,Athens 雅典
LGAG,AGQ,Agrinion Airport,Agrinion,GR,38.60200119,21.3512001,154,Europe/Athens,Athos 圣山
VIAG,AGR,Agra Airport,,IN,27.15579987,77.96089935,551,Asia/Kolkata,Atlanta 亚特兰大
KAGS,AGS,Augusta Regional At Bush Field,Augusta,US,33.36989975,-81.96450043,144,America/New_York,Atlantic the 大西洋
